Church,NaN
Other indoor Area,NaN
Other building,NaN
,NaN
"School, Trade",23
Relative's Home,43
Residence,NaN
Unspecified Place,NaN
Garage,NaN
"Other, Other Outdoor Area",NaN
"Other, Health Care Facility",NaN
Friend's Residence,NaN
Movie House or Theatre,NaN
Backyard,NaN
Shed,NaN
Nursing Home,NaN
"School, Primary or Secondary",NaN
Family Residence,55
Yard,NaN
Lake or Pond,30
Apartment House,NaN
Home,NaN
Car,41
"Public Park, Urban or Suburban",NaN
Railroad Track,NaN
Vacant Building,NaN
Campgrounds,NaN
Rest Home,56
Street/Highway,NaN
Restaurant,NaN
"Other, Park or Recreational Area",NaN
"Other, Industrial Area",NaN
Roadway,NaN
Porch,NaN
"River, Stream or Canal",48
"Other, Farm or Ranch",24
Motel,46
Beach,NaN
Residential building,46
Warehouse,NaN
Assisted Living,NaN
Automobile,NaN
Apartment,NaN
"Other, Public Buildings",NaN
Garage/Warehouse,50
Convenience Store,NaN
car in hartford,55
House,NaN
homeless shelter,28
Cemetery,NaN
Unknown,NaN
Other Indoor Area,NaN
residential building,37
Boat/Marina,NaN
University or College,NaN
"Other, Residential Institution",NaN
"Forest, Wooded Area",NaN
Public Park,NaN
Driveway,NaN
Penal Institution,NaN
Office Building,NaN
Parking Lot,NaN
Vacant Lot,NaN
Building,NaN
Gas Station,NaN
Bus Station,NaN
Detoxification Center,NaN
Residential Institution,63
In Vehicle,NaN
Hospital or Emergency Room,NaN
Store or Shopping Area,NaN
Other (unknown),NaN
Other,NaN
Halfway House,NaN
Street,NaN
Hotel or Motel,NaN
Alleyway,NaN
Police Station,NaN
Other Specified Place,NaN
Residential Building,NaN
Shopping Center,NaN
Sidewalk,NaN
Sober house,64
residence,NaN
Bar or Night Club,NaN
Field,NaN
Multiple Locations,41
Rehab House,48
Train or Subway Station,NaN
Casino,NaN
Public Recreation Area,NaN
Stairs,NaN
